Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009018,1929,08,90.3,Y
IDCJAC0001,009018,1929,09,25.9,Y
IDCJAC0001,009018,1929,10,29.5,Y
IDCJAC0001,009018,1929,11,31.2,Y
IDCJAC0001,009018,1929,12,10.7,Y
IDCJAC0001,009018,1930,01,0.0,Y
IDCJAC0001,009018,1930,02,0.3,Y
IDCJAC0001,009018,1930,03,1.6,Y
IDCJAC0001,009018,1930,04,31.4,Y
IDCJAC0001,009018,1930,05,43.7,Y
IDCJAC0001,009018,1930,06,215.6,Y
IDCJAC0001,009018,1930,07,223.8,Y
IDCJAC0001,009018,1930,08,119.7,Y
IDCJAC0001,009018,1930,09,80.8,Y
IDCJAC0001,009018,1930,10,34.4,Y
IDCJAC0001,009018,1930,11,14.8,Y
IDCJAC0001,009018,1930,12,4.1,Y
IDCJAC0001,009018,1931,01,0.0,Y
IDCJAC0001,009018,1931,02,1.6,Y
IDCJAC0001,009018,1931,03,13.5,Y
IDCJAC0001,009018,1931,04,65.8,Y
IDCJAC0001,009018,1931,05,139.1,Y
IDCJAC0001,009018,1931,06,111.0,Y
IDCJAC0001,009018,1931,07,182.3,Y
IDCJAC0001,009018,1931,08,162.1,Y
IDCJAC0001,009018,1931,09,137.0,Y
IDCJAC0001,009018,1931,10,40.5,Y
IDCJAC0001,009018,1931,11,1.6,Y
IDCJAC0001,009018,1931,12,4.6,Y
IDCJAC0001,009018,1932,01,0.8,Y
IDCJAC0001,009018,1932,02,0.0,Y
IDCJAC0001,009018,1932,03,8.9,Y
IDCJAC0001,009018,1932,04,57.6,Y
IDCJAC0001,009018,1932,05,170.2,Y
IDCJAC0001,009018,1932,06,108.1,Y
IDCJAC0001,009018,1932,07,250.6,Y
IDCJAC0001,009018,1932,08,180.9,Y
IDCJAC0001,009018,1932,09,47.8,Y
IDCJAC0001,009018,1932,10,74.6,Y
IDCJAC0001,009018,1932,11,3.6,Y
IDCJAC0001,009018,1932,12,2.5,Y
IDCJAC0001,009018,1933,01,6.9,Y
IDCJAC0001,009018,1933,02,0.5,Y
IDCJAC0001,009018,1933,03,15.2,Y
IDCJAC0001,009018,1933,04,9.6,Y
IDCJAC0001,009018,1933,05,154.7,Y
IDCJAC0001,009018,1933,06,207.2,Y
IDCJAC0001,009018,1933,07,109.3,Y
IDCJAC0001,009018,1933,08,116.7,Y
IDCJAC0001,009018,1933,09,55.4,Y
IDCJAC0001,009018,1933,10,77.3,Y
IDCJAC0001,009018,1933,11,3.0,Y
IDCJAC0001,009018,1933,12,0.6,Y
IDCJAC0001,009018,1934,01,22.9,Y
IDCJAC0001,009018,1934,02,0.6,Y
IDCJAC0001,009018,1934,03,231.1,Y
IDCJAC0001,009018,1934,04,52.4,Y
IDCJAC0001,009018,1934,05,111.8,Y
IDCJAC0001,009018,1934,06,208.9,Y
IDCJAC0001,009018,1934,07,165.1,Y
IDCJAC0001,009018,1934,08,90.5,Y
IDCJAC0001,009018,1934,09,67.5,Y
IDCJAC0001,009018,1934,10,20.5,Y
IDCJAC0001,009018,1934,11,27.5,Y
IDCJAC0001,009018,1934,12,3.9,Y
IDCJAC0001,009018,1935,01,11.9,Y
IDCJAC0001,009018,1935,02,24.9,Y
IDCJAC0001,009018,1935,03,7.7,Y
IDCJAC0001,009018,1935,04,28.3,Y
IDCJAC0001,009018,1935,05,68.9,Y
IDCJAC0001,009018,1935,06,83.1,Y
IDCJAC0001,009018,1935,07,186.2,Y
IDCJAC0001,009018,1935,08,111.6,Y
IDCJAC0001,009018,1935,09,71.6,Y
IDCJAC0001,009018,1935,10,35.1,Y
IDCJAC0001,009018,1935,11,0.6,Y
IDCJAC0001,009018,1935,12,6.4,Y
IDCJAC0001,009018,1936,01,2.5,Y
IDCJAC0001,009018,1936,02,0.5,Y
IDCJAC0001,009018,1936,03,11.2,Y
IDCJAC0001,009018,1936,04,13.2,Y
IDCJAC0001,009018,1936,05,82.4,Y
IDCJAC0001,009018,1936,06,155.3,Y
IDCJAC0001,009018,1936,07,113.6,Y
IDCJAC0001,009018,1936,08,175.5,Y
IDCJAC0001,009018,1936,09,48.3,Y
IDCJAC0001,009018,1936,10,33.3,Y
